"","0to9","10to19","20to29","30to39","40to49","50to59","60to69","70to79","80+","POPTOTAL"
"United States",0.122279642906023,0.128303564590111,0.138874870412683,0.133569544088548,0.123671954464759,0.130897957893939,0.11437123659441,0.0692993453621059,0.038731883687421,327167434
"Alabama",0.120932610537389,0.128107922651805,0.136098927324391,0.124291332565855,0.123013475601136,0.133248811189984,0.12053652807122,0.0752433932892255,0.0385269987689937,4887871
"Alaska",0.142616735237403,0.130210268524269,0.155500530214065,0.147625969912047,0.117346814240655,0.127203914091761,0.10907222030869,0.050675446613817,0.0197481008572924,737438
"Arizona",0.123773817056782,0.132496082489292,0.140854135856678,0.129224448613331,0.119039478524177,0.120015683986633,0.11349151924119,0.0803061110378287,0.0407987231940896,7171646
"Arkansas",0.127289076173965,0.132221678431893,0.135420935190331,0.126670924821448,0.119786981659519,0.126967557837632,0.115754896186739,0.0758783273746817,0.0400096223237912,3013825
"California",0.12463524512511,0.128759567353932,0.147574622927471,0.143412203818561,0.128138337937022,0.126973614940145,0.104040076805535,0.060900150655844,0.0355661804363799,39557045
"Colorado",0.120235151426619,0.127949049470781,0.146152514483201,0.150217432373686,0.128626769886178,0.124634891294348,0.110858380311414,0.0608944083500774,0.0304314024036952,5695564
"Connecticut",0.106123859919696,0.128699724155497,0.130445759677999,0.123253369683416,0.123279400671488,0.148192455771812,0.121102314378762,0.0729528237324238,0.0459502920089065,3572665
"Delaware",0.114827677835667,0.122022889437338,0.129583083032887,0.125037868174294,0.114819406289064,0.137361438670101,0.130649078601406,0.0842508718727092,0.0414476860865349,967171
"District of Columbia",0.118497270287776,0.0932059704892128,0.193635179477689,0.203860745528183,0.117087927340541,0.10440811155163,0.087706685837527,0.0505925646482693,0.0310055448391712,702455
"Florida",0.108020794086198,0.113274434753214,0.127060364589019,0.125372987172129,0.122165232935786,0.134515859070651,0.124694139368266,0.0919845112462484,0.0529116767784895,21299325
"Georgia",0.127698197866338,0.138422117073333,0.141109418483337,0.13410640740151,0.131735946898491,0.130744737736436,0.104977767426606,0.0621877992960675,0.0290176078178806,10519475
"Hawaii",0.122896237990948,0.11202675694531,0.137225790237319,0.137857262031227,0.119127118721625,0.123848725546308,0.121374933033719,0.0766185776608229,0.0490245978327212,1420491
"Idaho",0.136417118152465,0.145673717141867,0.133433435487696,0.129738890713074,0.117613190682063,0.117922732081942,0.114460200842773,0.0706096426421496,0.0341310722559696,1754208
"Illinois",0.120768490583216,0.129294612387647,0.137451613207044,0.135037375167568,0.125821123484037,0.132606890467684,0.113582443560514,0.0660148119311707,0.0394226392111187,12741080
"Indiana",0.126817912699544,0.135125446100482,0.138985349105289,0.126197309634157,0.121844719823045,0.130256409336811,0.115496576596286,0.0673904993486134,0.0378857773557737,6691878
"Iowa",0.126525555701655,0.133924772150836,0.136896118524339,0.125321555251739,0.114094251056273,0.127678227711338,0.11923501613519,0.0699799914135757,0.0463445120550545,3156145
"Kansas",0.132905833924379,0.137633285877922,0.140152601489608,0.129768281352771,0.114490272213168,0.123866179175375,0.114029685678026,0.065603871537229,0.041549988751522,2911505
"Kentucky",0.123564979158097,0.128209816395212,0.136929488439044,0.124837917447893,0.124101636334421,0.134066496255261,0.119622853986727,0.0718478328494169,0.0368189791339275,4468402
"Louisiana",0.130598470636557,0.129479366640787,0.140156670267542,0.136706653979911,0.117014500926828,0.128797389172224,0.1151975395592,0.066887654834422,0.0351617539825295,4659978
"Maine",0.0985337760496831,0.112541504657786,0.116306436621528,0.117947943969086,0.119493067862917,0.150638372270256,0.146858497135394,0.0890799788404697,0.0486004225928793,1338404
"Maryland",0.121625401019872,0.125772872406093,0.131560665250306,0.136292972798002,0.126390144302613,0.141310416934896,0.11380623752424,0.0663648378097406,0.0368764519542365,6042718
"Massachusetts",0.105788936170459,0.122360151888926,0.145161601118724,0.134035645999529,0.122333493524988,0.140566655399644,0.117926025647954,0.0695313879778602,0.0422961022719156,6902149
"Michigan",0.115928456774592,0.12736893020799,0.13896486714823,0.120237817148305,0.119389870762206,0.137698849980217,0.125899629998855,0.0735148308083852,0.0409967471712194,9995915
"Minnesota",0.127553407225113,0.129823161941546,0.131273481027784,0.1368840666106,0.118245559444815,0.133571037388043,0.116553936347424,0.0657352046691079,0.0403601453455682,5611179
"Mississippi",0.126716959146568,0.138240700746351,0.139349680063485,0.125484759905308,0.120361087951569,0.128295379587682,0.115386753188483,0.0698409190599123,0.036323760350641,2986530
"Missouri",0.122527688130096,0.12785981184542,0.136424148920125,0.129157789859449,0.117545359043048,0.132545721406125,0.119443358080664,0.0728036390393657,0.0416924836757066,6126452
"Montana",0.118668367370953,0.12172022159361,0.135208814794245,0.125893222756176,0.110973778717035,0.127943481391879,0.137047269851879,0.0805220722862078,0.0420227712380154,1062305
"Nebraska",0.137517441848411,0.137389414016093,0.137697302811222,0.132478743233185,0.114376022408499,0.12223703497907,0.112380965215823,0.0644850793150563,0.0414379961726416,1929268
"Nevada",0.124440744636817,0.124611454288042,0.134962127503632,0.141295521475142,0.129825019311941,0.127865812986588,0.112940912050915,0.0728439173317093,0.0312144904152133,3034392
"New Hampshire",0.0983296202315147,0.118872091874573,0.12940024681929,0.120223405368983,0.121415480612006,0.155769658920512,0.135996101611698,0.0778269581513029,0.0421664364101211,1356458
"New Jersey",0.118110527899135,0.125321489989358,0.1273031884084,0.129569558130868,0.130229600427456,0.143717138200285,0.114999348937871,0.0686777377162537,0.0420714102903737,8908520
"New Mexico",0.123634885092688,0.133143682340791,0.137076530427197,0.129683291432586,0.112851885151864,0.124483399095555,0.122436084656691,0.076885008695121,0.0398052331075083,2095428
